ti:	 exported from NMRproc 
##freq 99.9768
64218	0.00253207
64213	0.00328716
64208	0.0037908
64203	0.00401512
64198	0.00396465
64193	0.00367331
64187.9	0.00319802
64182.9	0.00261004
64177.9	0.00198503
64172.9	0.00139319
64167.9	0.00089074
64162.9	0.000513598
64157.9	0.000274199
64152.9	0.000161571
64147.9	0.000144633
64142.9	0.000178102
64137.9	0.000210307
64132.9	0.00019162
64127.9	8.25508e-05
64122.9	-0.000139678
64117.9	-0.000476953
64112.9	-0.00090896
64107.9	-0.00139501
64102.9	-0.00187873
64097.9	-0.00229506
64092.9	-0.00257856
64087.9	-0.00267221
64082.9	-0.00253526
64077.9	-0.00214942
64072.9	-0.00152244
64067.9	-0.000688611
64062.9	0.000293925
64057.9	0.00134869
64052.9	0.00238868
64047.9	0.00332551
64042.9	0.00407892
64037.9	0.00458541
64032.9	0.00480507
64027.9	0.00472593
64022.9	0.00436511
64017.8	0.00376693
64012.8	0.00299796
64007.8	0.00213988
64002.8	0.00128066
63997.8	0.00050542
63992.8	-0.000112363
63987.8	-0.000518023
63982.8	-0.000680704
63977.8	-0.000595614
63972.8	-0.000283421
63967.8	0.000213083
63962.8	0.00083457
63957.8	0.00151223
63952.8	0.00217555
63947.8	0.00275984
63942.8	0.00321269
63937.8	0.00349871
63932.8	0.00360206
63927.8	0.00352671
63922.8	0.0032944
63917.8	0.00294083
63912.8	0.00251044
63907.8	0.00205071
63902.8	0.00160653
63897.8	0.0012153
63892.8	0.000903451
63887.8	0.000684451
63882.8	0.000558735
63877.8	0.000515157
63872.8	0.000533847
63867.8	0.00058993
63862.8	0.00065758
63857.8	0.000713866
63852.8	0.000741893
63847.8	0.000732851
63842.7	0.000686781
63837.7	0.000611992
63832.7	0.000523327
63827.7	0.000439501
63822.7	0.000379966
63817.7	0.000361744
63812.7	0.000396607
63807.7	0.000489067
63802.7	0.000635366
63797.7	0.000823569
63792.7	0.00103482
63787.7	0.00124545
63782.7	0.00142982
63777.7	0.00156331
63772.7	0.00162534
63767.7	0.0016018
63762.7	0.00148681
63757.7	0.00128347
63752.7	0.0010036
63747.7	0.000666487
63742.7	0.000296881
63737.7	-7.763e-05
63732.7	-0.000429468
63727.7	-0.000733828
63722.7	-0.000971084
63717.7	-0.00112858
63712.7	-0.00120169
63707.7	-0.00119394
63702.7	-0.00111644
63697.7	-0.000986556
63692.7	-0.000826018
63687.7	-0.000658774
63682.7	-0.000508719
